"","parentId","stationId","name","Location_Easting","Location_Northing"
"279","490G000082","490G000082","New Bond Street",528715,181154
"280","490G00144L","490G00144L","Marble Arch Station",527977.666666667,181009.666666667
"281","490G00008450","490G00008450","Marble Arch / Edgware Road",527686,181041
"282","490G00007169","490G00007169","Burwood Place",527333,181397
"283","490G00015044","490G00015044","Sussex Gardens",527157.8,181436
"284","490G00012797","490G00012797","St Mary's Hospital",526904,181336
"285","490G01221H","490G01221H","Paddington Station",526682,181196
"286","490G000450","490G000450","Paddington Stn / Eastbourne Terrace",526441,181352
"287","490G00014406","490G00014406","Westbourne Terrace",526299,181430
"288","490G00007252","490G00007252","Gloucester Terrace",526080,181336
"289","490G00011365","490G00011365","Westbourne Grove / Queensway",525748,181192
"290","490G00019713","490G00019713","Artesian Road",525313,181200
"291","490G00012948","490G00012948","St Stephens Gardens",525245,181503
"292","490G00007429","490G00007429","Great Western Road",525054,181476
"293","490G00011158","490G00011158","Powis Gardens",524831,181379
"294","490G00011137","490G00011137","Portobello Road",524644,181300
"295","490G00131A","490G00131A","Ladbroke Grove Station",524268,181392
"296","490G000436","490G000436","Cambridge Gardens / Ladbroke Grove",524157,181398
"297","490G00019158","490G00019158","Oxford Gardens",523926,181375
"298","490G00012646","490G00012646","St Charles Square",523739,181612
"299","490G00015456","490G00015456","Oakworth Road",523694,181735
"300","490G00012645","490G00012645","St Charles Health & Wellbeing Centre",523626,181905
"301","490G00003618","490G00003618","Barlby Gardens",523722,182028
"302","490G00004737","490G00004737","Kensal House",523937,182246
"303","490G00019178","490G00019178","Kensal Green Cemetery",523750,182562
"304","490G00122W","490G00122W","Kensal Green Station",523339,182710
"305","490G00012788","490G00012788","St Mary's Cemetery",523065,182732
"306","490G00014962","490G00014962","Wrottesley Road",522650,182946
"307","490G00005491","490G00005491","Scrubs Lane",522451,182966
"308","490G00007859","490G00007859","Harrow Road / College Park",522380,182867
"309","490G00008451","490G00008451","Hythe Road",522488,182488
"310","490G00009955","490G00009955","Mitre Bridge",522650,182123
"311","490G00009957","490G00009957","Mitre Way / Wormwood Scrubs",522912,181775
"312","490G00010398","490G00010398","North Pole Road",523041,181565
"313","490G00004895","490G00004895","Caverswall Street",523080,181376
"314","490G00014869","490G00014869","Latymer Upper School / Playing Fields",522989,181236
