from,to,line,latitude.x,longitude.x,name.x,display_name.x,zone.x,total_lines.x,rail.x,latitude.y,longitude.y,name.y,display_name.y,zone.y,total_lines.y,rail.y,geometry
215,301,2,51.6171,0.0439,Roding Valley,Roding<br />Valley,4,1,0,51.607,0.0341,Woodford,NULL,4,1,0,"(0.043900 51.617100, 0.034100 51.607000)"
221,239,2,51.5606,-0.4103,Ruislip Gardens,Ruislip<br />Gardens,5,1,0,51.5569,-0.3988,South Ruislip,South<br />Ruislip,5,1,1,"(-0.410300 51.560600, -0.398800 51.556900)"
221,294,2,51.5606,-0.4103,Ruislip Gardens,Ruislip<br />Gardens,5,1,0,51.5696,-0.4376,West Ruislip,West<br />Ruislip,6,1,1,"(-0.410300 51.560600, -0.437600 51.569600)"
226,296,2,51.5046,-0.2187,Shepherd's Bush (C),Shepherd's<br />Bush,2,1,0,51.512,-0.2239,White City,White<br />City,2,1,0,"(-0.218700 51.504600, -0.223900 51.512000)"
230,241,2,51.5808,0.0216,Snaresbrook,NULL,4,1,0,51.5917,0.0275,South Woodford,South<br />Woodford,4,1,0,"(0.021600 51.580800, 0.027500 51.591700)"
241,301,2,51.5917,0.0275,South Woodford,South<br />Woodford,4,1,0,51.607,0.0341,Woodford,NULL,4,1,0,"(0.027500 51.591700, 0.034100 51.607000)"
2,156,3,51.5143,-0.0755,Aldgate,NULL,1,2,0,51.5178,-0.0823,Liverpool Street,Liverpool<br />Street,1,4,1,"(-0.075500 51.514300, -0.082300 51.517800)"
2,263,3,51.5143,-0.0755,Aldgate,NULL,1,2,0,51.5098,-0.0766,Tower Hill,Tower<br />Hill,1,2,0,"(-0.075500 51.514300, -0.076600 51.509800)"
11,83,3,51.5226,-0.1571,Baker Street,Baker<br />Street,1,5,0,51.5203,-0.17,Edgware Road (C),Edgware<br />Road,1,3,0,"(-0.157100 51.522600, -0.170000 51.520300)"
11,104,3,51.5226,-0.1571,Baker Street,Baker<br />Street,1,5,0,51.5238,-0.1439,Great Portland Street,Great<br />Portland<br />Street,1,3,0,"(-0.157100 51.522600, -0.143900 51.523800)"
14,92,3,51.5204,-0.0979,Barbican,NULL,1,3,0,51.5203,-0.1053,Farringdon,NULL,1,3,1,"(-0.097900 51.520400, -0.105300 51.520300)"
14,167,3,51.5204,-0.0979,Barbican,NULL,1,3,0,51.5186,-0.0886,Moorgate,NULL,1,4,1,"(-0.097900 51.520400, -0.088600 51.518600)"
18,186,3,51.5121,-0.1879,Bayswater,NULL,1,2,0,51.5094,-0.1967,Notting Hill Gate,Notting<br />Hill Gate,1.5,3,0,"(-0.187900 51.512100, -0.196700 51.509400)"
18,193,3,51.5121,-0.1879,Bayswater,NULL,1,2,0,51.5154,-0.1755,Paddington,NULL,1,4,1,"(-0.187900 51.512100, -0.175500 51.515400)"
25,161,3,51.512,-0.1031,Blackfriars,NULL,1,2,0,51.5122,-0.094,Mansion House,Mansion<br />House,1,2,0,"(-0.103100 51.512000, -0.094000 51.512200)"
25,255,3,51.512,-0.1031,Blackfriars,NULL,1,2,0,51.5111,-0.1141,Temple,NULL,1,2,0,"(-0.103100 51.512000, -0.114100 51.511100)"
